listing_id,host_name,last_review,price,nbhood_full,description,room_type
2595,Jennifer,2019-05-21,225.0,"Manhattan, Midtown",Skylit Midtown Castle,entire home/apt
3831,LisaRoxanne,2019-07-05,89.0,"Brooklyn, Clinton Hill",Cozy Entire Floor of Brownstone,entire home/apt
5099,Chris,2019-06-22,200.0,"Manhattan, Murray Hill",Large Cozy 1 BR Apartment In Midtown East,entire home/apt
5178,Shunichi,2019-06-24,79.0,"Manhattan, Hell's Kitchen",Large Furnished Room Near B'way,private room
5238,Ben,2019-06-09,150.0,"Manhattan, Chinatown",Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5295,Lena,2019-06-22,135.0,"Manhattan, Upper West Side",Beautiful 1br on Upper West Side,entire home/apt
5441,Kate,2019-06-23,85.0,"Manhattan, Hell's Kitchen",Central Manhattan/near Broadway,private room
5803,Laurie,2019-06-24,89.0,"Brooklyn, South Slope","Lovely Room 1, Garden, Best Area, Legal rental",private room
6021,Claudio,2019-07-05,85.0,"Manhattan, Upper West Side",Wonderful Guest Bedroom in Manhattan for SINGLES,private room
6848,Allen & Irina,2019-06-29,140.0,"Brooklyn, Williamsburg",Only 2 stops to Manhattan studio,entire home/apt
7097,Jane,2019-06-28,215.0,"Brooklyn, Fort Greene",Perfect for Your Parents + Garden,entire home/apt
7322,Doti,2019-07-01,140.0,"Manhattan, Chelsea",Chelsea Perfect,private room
7726,Adam And Charity,2019-06-22,99.0,"Brooklyn, Crown Heights",Hip Historic Brownstone Apartment with Backyard,entire home/apt
8024,Lisel,2019-07-01,130.0,"Brooklyn, Park Slope",CBG CtyBGd HelpsHaiti rm#1:1-4,private room
8025,Lisel,2019-01-01,80.0,"Brooklyn, Park Slope",CBG Helps Haiti Room#2.5,private room
8110,Lisel,2019-07-02,110.0,"Brooklyn, Park Slope",CBG Helps Haiti Rm #2,private room
8490,Nathalie,2019-06-19,120.0,"Brooklyn, Bedford-Stuyvesant","MAISON DES SIRENES1,bohemian apartment",entire home/apt
8505,Gregory,2019-06-23,60.0,"Brooklyn, Windsor Terrace",Sunny Bedroom Across Prospect Park,private room
9518,Shon,2019-06-15,44.0,"Manhattan, Inwood","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room
9657,Dana,2019-04-19,180.0,"Manhattan, East Village",Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,Ssameer Or Trip,2019-06-01,50.0,"Manhattan, Harlem",front room/double bed,private room
9704,Teri,2019-06-14,52.0,"Manhattan, Harlem",Spacious 1 bedroom in luxe building,private room
9782,Andrea,2019-06-15,55.0,"Brooklyn, Greenpoint",Loft in Williamsburg Area w/ Roof,private room
